,İl Id,İl Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK 
0,1,ADANA, 1.526.827 , 1.313.501 , 1.285.873 , 460.752 , 125.894 , 567.605 , 119.498 , 9.799 , 2.325 
1,Oy Oranı, %35.83 , %9.79 , %44.14 , %9.29 , %0.76 , %0.18 ,,,,
2,2,ADIYAMAN, 399.766 , 345.346 , 336.654 , 68.852 , 11.492 , 226.926 , 24.949 , 3.906 , 529 
3,Oy Oranı, %20.45 , %3.41 , %67.4 , %7.41 , %1.16 , %0.15 ,,,,
4,3,AFYONKARAHİSAR, 507.706 , 459.173 , 445.461 , 84.026 , 51.951 , 303.088 , 1.589 , 3.878 , 929 
5,Oy Oranı, %18.86 , %11.66 , %68.03 , %0.35 , %0.87 , %0.2 ,,,,
6,4,AĞRI, 296.375 , 232.482 , 224.931 , 11.296 , 2.571 , 71.421 , 137.829 , 1.561 , 253 
7,Oy Oranı, %5.02 , %1.14 , %31.75 , %61.27 , %0.69 , %0.11 ,,,,
8,68,AKSARAY, 267.068 , 232.138 , 225.463 , 31.993 , 18.302 , 171.789 , 1.358 , 1.702 , 319 
9,Oy Oranı, %14.18 , %8.11 , %76.19 , %0.6 , %0.75 , %0.14 ,,,,
10,5,AMASYA, 246.896 , 225.545 , 219.408 , 67.894 , 22.279 , 126.075 , 842 , 1.936 , 382 
11,Oy Oranı, %30.94 , %10.15 , %57.46 , %0.38 , %0.88 , %0.17 ,,,,
12,6,ANKARA, 3.909.586 , 3.492.366 , 3.429.877 , 1.242.587 , 310.129 , 1.767.006 , 70.752 , 32.295 , 7.108 
13,Oy Oranı, %36.22 , %9.04 , %51.51 , %2.06 , %0.94 , %0.2 ,,,,
