İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
650, ALADAĞ ,, 12.018 , 10.830 , 10.443 , 2.027 , 1.756 , 6.466 , 51 , 109 , 34 , Excel İndir  Json İndir 
117, CEYHAN ,, 111.000 , 95.155 , 93.032 , 29.931 , 10.567 , 39.204 , 12.566 , 574 , 190 , Excel İndir  Json İndir 
982, ÇUKUROVA ,, 266.788 , 237.207 , 234.386 , 122.728 , 26.976 , 75.999 , 6.397 , 1.855 , 431 , Excel İndir  Json İndir 
227, FEKE ,, 12.564 , 10.989 , 10.601 , 1.741 , 1.580 , 7.093 , 37 , 105 , 45 , Excel İndir  Json İndir 
699, İMAMOĞLU ,, 20.256 , 16.950 , 16.411 , 3.579 , 2.208 , 10.168 , 248 , 180 , 28 , Excel İndir  Json İndir 
332, KARAİSALI ,, 16.041 , 14.538 , 14.146 , 1.934 , 2.140 , 9.871 , 42 , 138 , 21 , Excel İndir  Json İndir 
338, KARATAŞ ,, 16.151 , 14.183 , 13.917 , 6.761 , 1.381 , 5.151 , 566 , 44 , 14 , Excel İndir  Json İndir 
379, KOZAN ,, 92.542 , 78.799 , 76.696 , 16.664 , 12.122 , 46.697 , 401 , 656 , 156 , Excel İndir  Json İndir 
473, POZANTI ,, 14.607 , 13.186 , 12.828 , 3.415 , 1.563 , 7.524 , 121 , 170 , 35 , Excel İndir  Json İndir 
481, SAİMBEYLİ ,, 10.942 , 9.007 , 8.665 , 1.249 , 968 , 6.316 , 30 , 69 , 33 , Excel İndir  Json İndir 
981, SARIÇAM ,, 108.096 , 93.486 , 91.524 , 20.271 , 13.173 , 54.468 , 2.806 , 663 , 143 , Excel İndir  Json İndir 
4, SEYHAN ,, 544.445 , 466.039 , 456.808 , 176.918 , 32.043 , 175.216 , 68.385 , 3.477 , 769 , Excel İndir  Json İndir 
580, TUFANBEYLİ ,, 12.755 , 11.157 , 10.754 , 2.559 , 1.113 , 6.906 , 45 , 99 , 32 , Excel İndir  Json İndir 
627, YUMURTALIK ,, 13.108 , 11.273 , 10.980 , 3.553 , 1.892 , 5.316 , 144 , 42 , 33 , Excel İndir  Json İndir 
641, YÜREĞİR ,, 275.514 , 230.702 , 224.682 , 67.422 , 16.412 , 111.210 , 27.659 , 1.618 , 361 , Excel İndir  Json İndir 
