Unnamed: 0,İl Id,İl Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK 
0,1,ADANA, 1.526.827 , 1.313.501 , 1.285.873 , 460.752 , 125.894 , 567.605 ,119.498,9.799,2.325
2,2,ADIYAMAN, 399.766 , 345.346 , 336.654 , 68.852 , 11.492 , 226.926 ,24.949,3.906,529.0
4,3,AFYONKARAHİSAR, 507.706 , 459.173 , 445.461 , 84.026 , 51.951 , 303.088 ,1.589,3.878,929.0
6,4,AĞRI, 296.375 , 232.482 , 224.931 , 11.296 , 2.571 , 71.421 ,137.829,1.561,253.0
8,68,AKSARAY, 267.068 , 232.138 , 225.463 , 31.993 , 18.302 , 171.789 ,1.358,1.702,319.0
10,5,AMASYA, 246.896 , 225.545 , 219.408 , 67.894 , 22.279 , 126.075 ,842.0,1.936,382.0
12,6,ANKARA, 3.909.586 , 3.492.366 , 3.429.877 , 1.242.587 , 310.129 , 1.767.006 ,70.752,32.295,7.108
14,7,ANTALYA, 1.683.522 , 1.468.892 , 1.438.596 , 558.047 , 193.973 , 616.021 ,58.956,8.581,3.018
16,75,ARDAHAN, 69.575 , 58.885 , 56.504 , 20.790 , 2.298 , 24.056 ,8.834,376.0,150.0
18,8,ARTVİN, 131.386 , 115.109 , 111.644 , 46.105 , 9.539 , 53.766 ,840.0,1.09,304.0
20,9,AYDIN, 816.894 , 726.302 , 707.398 , 312.871 , 79.685 , 268.628 ,40.882,3.138,2.194
22,10,BALIKESİR, 947.177 , 858.235 , 838.596 , 331.631 , 86.912 , 397.404 ,14.139,6.304,2.206
24,74,BARTIN, 146.984 , 128.658 , 122.454 , 36.979 , 8.340 , 74.091 ,693.0,1.903,448.0
26,72,BATMAN, 342.380 , 293.248 , 284.102 , 11.747 , 2.041 , 89.315 ,177.821,2.894,284.0
28,69,BAYBURT, 56.249 , 48.370 , 47.293 , 4.166 , 2.892 , 38.826 ,150.0,1.198,61.0
